,MEMBER_NO,clusters
1234,38194,2.0
1235,38410,5.0
1236,3835,2.0
1237,29296,2.0
1238,32390,2.0
1239,27021,2.0
1240,44029,2.0
1241,14166,2.0
1242,29247,2.0
1243,35479,2.0
1244,8513,2.0
1245,39324,2.0
1246,49304,5.0
1247,28531,2.0
1248,54441,2.0
1249,53956,2.0
1250,27500,5.0
1251,18975,2.0
1252,3670,2.0
1253,28678,2.0
1254,15526,5.0
1255,58031,2.0
1256,37508,2.0
1257,37762,2.0
1258,708,5.0
1259,1022,2.0
1260,38047,2.0
1261,54961,2.0
1262,9858,2.0
1263,29255,2.0
1264,18976,2.0
1265,676,2.0
1266,44531,2.0
1267,29215,2.0
1268,38741,2.0
1269,26133,2.0
1270,44647,2.0
1271,38132,2.0
1272,20775,2.0
1273,35452,2.0
1274,6779,2.0
1275,2168,2.0
1276,9575,2.0
1277,56468,2.0
1278,27085,2.0
1279,17635,2.0
1280,26019,2.0
1281,62905,2.0
1282,58032,5.0
1283,10525,2.0
1284,54589,2.0
1285,2981,2.0
1286,30987,2.0
1287,5489,2.0
1288,1502,2.0
1289,35194,2.0
1290,62839,2.0
1291,8638,2.0
1292,40763,2.0
1293,28236,2.0
1294,46967,2.0
1295,56142,2.0
1296,29173,2.0
1297,20860,5.0
1298,54166,2.0
1299,44823,2.0
1300,31270,2.0
1301,26814,2.0
1302,62338,2.0
1303,45752,2.0
1304,60391,2.0
1305,44675,2.0
1306,12801,2.0
1307,23221,2.0
1308,53730,2.0
1309,19085,5.0
1310,4181,2.0
1311,45807,2.0
1312,19475,2.0
1313,13752,2.0
1314,573,2.0
1315,11572,2.0
1316,32845,5.0
1317,46317,5.0
1318,12158,2.0
1319,46898,2.0
1320,53994,2.0
1321,34787,2.0
1322,13704,2.0
1323,10596,2.0
1324,9710,2.0
1325,44599,2.0
1326,37160,2.0
1327,26673,2.0
1328,62577,2.0
1329,62825,2.0
1330,23628,2.0
1331,30848,2.0
1332,57358,2.0
1333,61361,2.0
1334,14570,2.0
1335,5132,2.0
1336,44869,2.0
1337,9700,2.0
1338,47297,2.0
1339,17725,2.0
1340,37290,2.0
1341,39391,2.0
1342,28410,2.0
1343,37204,2.0
1344,36235,2.0
1345,56242,2.0
1346,22097,2.0
1347,744,2.0
1348,4853,2.0
1349,18181,2.0
1350,47090,2.0
1351,2972,5.0
1352,8425,2.0
1353,26507,2.0
1354,3802,2.0
1355,8563,2.0
1356,13977,2.0
1357,20222,2.0
1358,53796,2.0
1359,62965,2.0
1360,51486,2.0
1361,40063,2.0
1362,19349,5.0
1363,1340,2.0
1364,38551,2.0
1365,29291,2.0
1366,43181,2.0
1367,40168,2.0
1368,11009,2.0
1369,11873,2.0
1370,40363,2.0
1371,26494,2.0
1372,26704,2.0
1373,2267,2.0
1374,56086,2.0
1375,28509,2.0
1376,47656,2.0
1377,53993,2.0
1378,48025,2.0
1379,1767,2.0
1380,16571,2.0
1381,29031,2.0
1382,17254,2.0
1383,53645,2.0
1384,32425,2.0
1385,24965,2.0
1386,39887,2.0
1387,49687,2.0
1388,3172,2.0
1389,31638,2.0
1390,54673,2.0
1391,44682,2.0
1392,49026,2.0
1393,35923,2.0
1394,40837,2.0
1395,40008,2.0
1396,11228,2.0
1397,39043,2.0
1398,1039,5.0
1399,27666,2.0
1400,5130,2.0
1401,11195,2.0
1402,50899,2.0
1403,30924,2.0
1404,62600,2.0
1405,55437,2.0
1406,28281,2.0
1407,56420,2.0
1408,25040,2.0
1409,2615,2.0
1410,41149,2.0
1411,3930,2.0
1412,60782,2.0
1413,49806,2.0
1414,53946,2.0
1415,18096,2.0
1416,32801,2.0
1417,47076,2.0
1418,59143,2.0
1419,44838,2.0
1420,13750,2.0
1421,19023,2.0
1422,39672,2.0
1423,8353,2.0
1424,42229,2.0
1425,635,2.0
1426,8505,2.0
1427,21205,2.0
1428,32208,2.0
1429,12569,2.0
1430,22276,2.0
1431,54611,2.0
1432,10223,2.0
1433,46087,2.0
1434,3722,2.0
1435,722,2.0
1436,60228,2.0
1437,27720,2.0
1438,41083,2.0
1439,38196,1.0
1440,51446,2.0
1441,20424,2.0
1442,13196,5.0
1443,15974,2.0
1444,25999,2.0
1445,62548,5.0
1446,2656,2.0
1447,32501,2.0
1448,14981,2.0
1449,22422,2.0
1450,36857,2.0
1451,11017,2.0
1452,50058,2.0
1453,21139,2.0
1454,8395,2.0
1455,62543,2.0
1456,13566,2.0
1457,23032,2.0
1458,19199,5.0
1459,43339,2.0
1460,45734,2.0
1461,4759,2.0
1462,47201,2.0
1463,45744,2.0
1464,10176,5.0
1465,17213,2.0
1466,23991,2.0
1467,27322,2.0
1468,62478,2.0
1469,20146,2.0
1470,29795,2.0
1471,10826,5.0
1472,16938,2.0
1473,26962,2.0
1474,56928,2.0
1475,38632,2.0
1476,49524,2.0
1477,10968,2.0
1478,29460,2.0
1479,5474,2.0
1480,30761,2.0
1481,15490,2.0
1482,57211,2.0
1483,50658,2.0
1484,47583,2.0
1485,27688,2.0
1486,4401,2.0
1487,59670,2.0
1488,23899,2.0
1489,6538,2.0
1490,45060,2.0
1491,38009,2.0
1492,59395,2.0
1493,29141,2.0
